,gigabytes_per_sec,iops,numjobs,hipri,fixedbufs,registerfiles,sqthread_poll,thread,iodepth,blocksize,repeat
389,2.101256015,256500.978474,2,True,True,False,True,False,8,8,0
390,0.634974467,155023.063276,1,False,False,True,True,False,8,4,0
391,5.741934887,350459.893048,1,False,True,False,True,False,128,16,0
392,3.594114892,438734.728033,4,True,True,True,False,True,128,8,0
393,3.229298718,394201.503759,4,False,True,True,True,True,8,8,0
394,6.52730592,99598.784195,2,True,False,False,True,True,32,64,0
395,6.7108864,102400.0,1,True,True,False,False,True,128,64,0
396,5.65871844,690761.528327,4,True,False,True,False,True,32,8,0
397,1.14349502,279173.588924,2,True,False,False,False,False,8,4,0
398,6.52730592,99598.784195,2,False,False,True,True,True,32,64,0
399,6.972349506,106389.61039,4,True,True,False,False,False,32,64,0
400,5.924092822,361577.931034,4,False,False,False,False,False,32,16,0
401,2.027841027,247539.187913,2,False,True,True,False,True,8,8,0
402,3.555436503,54251.655629,1,True,True,True,False,False,8,64,0
403,3.033168994,370259.887006,1,False,True,True,True,False,32,8,0
404,6.972349506,106389.61039,4,False,True,True,True,False,32,64,0
405,5.382164531,328501.253133,2,False,True,True,True,False,32,16,0
406,2.508742579,612485.981308,2,True,True,True,False,True,32,4,0
407,5.924092822,361577.931034,4,False,True,True,True,False,32,16,0
408,5.899680351,90021.978022,1,True,True,True,False,True,32,64,0
409,6.995060742,106736.156352,2,False,True,False,False,False,128,64,0
410,4.396077068,268315.250768,4,False,True,False,True,False,8,16,0
411,6.916211426,105533.011272,4,False,False,True,True,False,32,64,0
412,6.7108864,102400.0,1,False,False,True,False,True,128,64,0
413,6.995060742,106736.156352,2,True,False,True,False,False,128,64,0
414,6.995060742,106736.156352,2,False,False,False,True,False,128,64,0
415,2.929718482,178815.825375,2,False,False,False,True,True,8,16,0
416,7.064090947,107789.473684,4,False,True,True,False,True,128,64,0
417,6.083523082,92827.195467,4,False,True,True,False,False,8,64,0
418,1.114418084,272074.727556,2,True,True,True,True,True,8,4,0
419,2.064888123,252061.538462,2,False,False,False,False,False,8,8,0
420,1.15332097,140786.251343,1,False,True,False,False,True,8,8,0
421,3.169717561,386928.413284,4,False,False,False,True,True,8,8,0
422,4.145721328,1012138.996139,4,False,True,True,False,False,128,4,0
423,1.780666374,434733.001658,1,False,True,True,True,True,32,4,0
424,7.064090947,107789.473684,4,True,False,False,False,False,128,64,0
425,2.043276544,249423.40628,2,False,True,False,False,True,8,8,0
426,5.113056304,78019.047619,2,False,True,False,True,False,8,64,0
427,1.802336255,440023.49979,4,False,False,False,True,False,8,4,0
